Thông tin về ngưỡng điểm trúng tuyển của các phương thức xét tuyển riêng của đại học Ngoại Thương năm 2024

|             Stt   |             Ngành                                                                                                  |             Mã xét tuyển   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)    |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 3 (chứng chỉ NNQT và kết quả thi tốt nghiệp THPT 2024)   |    Phương thức 4 (kết quả thi tốt nghiệp THPT 2024)*   |     Phương thức 5 (Kết quả kỳ thi đánh giá năng lực ĐHQG)   |
| 2.4               | Chương trình tiêu chuẩn Thương mại quốc tế                                                                         | KTEH1.2                    | 28.9                                                    | 30.3                                                    | 28.41                                                    | 28.5                                                    |                                                            |                                                            |                                                            |                                                                      | 28                                                     | 27.8                                                        |
| 3                 | Ngành Kinh tế quốc tế                                                                                              |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 28                                                     |                                                             |
| 3.1               | Chương trình CLC Kinh tế quốc tế                                                                                   | KTQH2.1                    |                                                         |                                                         |                                                          |                                                         | 27.5                                                       | 28.4                                                       | 28.5                                                       | 27                                                                   | 28                                                     |                                                             |
| 3.2               | Chương trình tiêu chuẩn Kinh tế quốc tế                                                                            | KTQH1.1                    | 28.2                                                    | 30.2                                                    | 28.31                                                    | 28.2                                                    |                                                            |                                                            |                                                            |                                                                      | 28                                                     | 27.6                                                        |
| 3.3               | Chương trình tiêu chuẩn Kinh tế và Phát triển quốc tế                                                              | KTQH1.2                    | 28.2                                                    | 30.2                                                    | 28.31                                                    | 28.2                                                    |                                                            |                                                            |                                                            |                                                                      | 28                                                     | 27.6                                                        |
| 4                 | Ngành Kinh doanh quốc tế                                                                                           |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 28.1                                                   |                                                             |
| 4.1               | Chương trình CLC Kinh doanh quốc tế                                                                                | KDQH2.1                    |                                                         |                                                         |                                                          |                                                         | 27.6                                                       | 28.5                                                       | 29                                                         | 28.1                                                                 | 28.1                                                   |                                                             |
| 4.2               | Chương trình ĐHNNQT Kinh doanh quốc tế theo mô hình tiên tiến Nhật Bản                                             | KDQH2.3                    | 28                                                      | 29.5                                                    | 27.66                                                    | 28.1                                                    | 27                                                         | 28.2                                                       | 28.5                                                       | 27                                                                   | 28.1                                                   |                                                             |
| 4.3               | Chương trình ĐHNNQT Logistics và Quản lý chuỗi cung ứng                                                            | KDQH2.2                    | 29                                                      | 30.4                                                    | 28.5                                                     | 28.7                                                    | 28                                                         | 28.7                                                       | 29.5                                                       | 27.3                                                                 | 28.1                                                   |                                                             |
| 4.4               | Chương trình ĐHNNQT Kinh doanh số                                                                                  | KDQH2.4                    | 27                                                      | 30.0                                                    | 28.13                                                    | 28.2                                                    | 27.1                                                       | 28.2                                                       | 28.5                                                       | 27                                                                   | 28.1                                                   |                                                             |
| 4.5               | Chương trình tiêu chuẩn Kinh doanh quốc tế                                                                         | KDQH1.1                    | 29.3                                                    | 30.3                                                    | 28.41                                                    | 28.4                                                    |                                                            |                                                            |                                                            |                                                                      | 28.1                                                   | 28                                                          |
| 4.6               | Chương trình tiên tiến i-Hons hợp tác với Đại học Queensland về Kinh doanh quốc tế và Phân tích dữ liệu kinh doanh | KDQH4.1                    |                                                         |                                                         |                                                          |                                                         | 27.6                                                       | 28.3                                                       | 29                                                         | 27                                                                   | 28.1                                                   |                                                             |
| 5                 | Ngành Quản trị kinh doanh                                                                                          |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 28.1                                                   |                                                             |
| 5.1               | Chương trình tiên tiến Quản trị kinh doanh quốc tế                                                                 | QTKH4.1                    |                                                         |                                                         |                                                          |                                                         | 26.7                                                       | 28                                                         | 28                                                         | 26.7                                                                 | 28.1                                                   |                                                             |
| 5.2               | Chương trình CLC Quản trị kinh doanh quốc tế                                                                       | QTKH2.1                    |                                                         |                                                         |                                                          |                                                         | 26.6                                                       | 28.1                                                       | 28                                                         | 26.8                                                                 | 28.1                                                   |                                                             |
| 5.3               | Chương trình tiêu chuẩn Quản trị kinh doanh quốc tế                                                                | QTKH1.1                    | 27.1                                                    | 29.5                                                    | 27.66                                                    | 28.1                                                    |                                                            |                                                            |                                                            |                                                                      | 28.1                                                   | 27.3                                                        |
| 6                 | Ngành Quản trị Khách sạn                                                                                           |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 28.1                                                   |                                                             |
| 6.1               | Chương trình ĐHNNQT Quản trị khách sạn                                                                             | QKSH2.1                    | 27                                                      | 29.0                                                    | 27.19                                                    | 28                                                      | 26.5                                                       | 28                                                         | 28                                                         | 26                                                                   | 28.1                                                   |                                                             |

